from,to,distance
3,6,37.75857104268819
3,7,48.83273567446897
3,8,36.02412527454243
3,9,24.021999893092378
3,10,13.468630025347919
3,11,11.060665424992868
3,12,17.82478002532442
3,13,26.731436411299686
3,14,39.89035590907954
3,15,51.160836405118395
3,16,40.21606999442229
3,17,31.449834619212194
3,18,25.21927570794233
3,19,23.546088027899955
3,20,25.565552692268096
3,21,34.36811585873265
3,22,45.04514945522647
3,23,55.734803881660554
3,24,49.24495210731798
3,25,41.67042500054466
3,26,37.91416498220138
3,27,36.40012836782316
3,28,39.614204449836166
3,29,43.831889698553574
3,30,54.49657656033712
3,31,60.627140605510164
3,32,58.09087048113426
3,33,53.595811129841444
3,34,48.51209650775538
3,35,48.24186041215208
3,36,50.99405473008741
3,37,56.17013187637162
3,38,61.713771910975055
3,39,68.85094225674885
3,40,68.34024661621504
3,41,63.53730104947538
3,42,61.41765655360733
3,43,60.33939866982324
3,44,63.47234640197361
3,45,68.21165932160758
3,46,72.04354420722711
3,47,77.0071616833214
3,48,78.84538638629923
3,49,77.57286188673304
3,50,74.7019976571719
3,51,75.89250018155089
3,52,78.12894739795419
3,53,82.76767547664902
3,54,84.50497864930874
3,55,86.25434284863377
3,56,90.32117514243184
3,57,86.78914430879334
3,58,83.61175794651668
3,59,87.04548833929496
3,60,89.60749870297637
3,61,90.6749331672822
3,62,93.14391481180157
3,63,95.35334449338987
3,64,99.73181621335002
3,65,95.70846938146752
3,66,89.82599929268554
3,67,84.87189383568263
3,68,80.20277729618782
3,69,75.16195315005767
3,70,73.7238027103917
3,71,70.95510095019216
3,72,89.44855125485115
3,73,100.20012722426232
3,74,103.08783879045812
3,75,102.91961937935635
3,76,107.25696425948759
3,77,101.29961913120063
3,78,108.66271374451563
3,79,110.35489892881799
3,80,108.59094377648788
3,81,103.93835429059249
3,82,95.03160015544557
3,83,84.28323903763118
3,84,102.92439651352008
3,85,100.63881700267805
3,86,98.16887663054771
3,87,99.58264446853468
3,88,105.88785311085077
3,89,105.7150398733284
3,90,82.08083418907262
3,91,84.64627479349718
3,92,90.66268971558873
3,93,91.84102600490155
3,94,95.20890654892793
3,95,97.94663304469026
3,96,97.56006792082233
3,97,97.01850890217376
3,98,77.04162743766184
3,99,70.87485661688515
3,100,63.13523280467062
3,101,55.70192043167715
3,102,51.26523194261505
3,103,48.63743349378356
3,104,45.369141283385716
3,105,41.3531597967904
3,106,38.2351373510731
3,107,35.23646089892865
3,108,32.244024879864924
3,109,29.75218238545924
3,110,26.893226763630267
3,111,75.62577954945132
3,112,74.7439270052212
3,114,76.96966689282633
3,115,78.84279965088227
3,116,123.6655612765132
3,118,120.91419619435855
3,120,120.26169372994126
3,123,123.68323447775873
3,124,127.21241454161043
3,125,131.31034485469937
6,7,12.238322688784367
6,8,72.44600880641832
6,9,60.217561632380146
6,10,47.43330172385106
6,11,37.84794808744642
6,12,26.131630788666847
6,13,16.042581081378362
6,14,10.32040039618614
6,15,16.35615844407103
6,16,74.02450069688557
6,17,63.36541129744117
6,18,53.05956487700029
6,19,43.1384832833531
6,20,33.47374937896931
6,21,26.22051321342005
6,22,23.270822196303605
6,23,25.920043686203876
6,24,79.29768521423503
6,25,68.349971046951
6,26,59.4178149402902
6,27,51.194478590528306
6,28,43.75592856879035
6,29,38.80601615610666
6,30,37.10397273904997
6,31,36.22600202572998
6,32,84.72004604927908
6,33,76.9781471496811
6,34,67.46644833727102
6,35,61.00015133784344
6,36,54.31291796286776
6,37,51.7017749362555
6,38,49.13924662048855
6,39,49.73344150502747
6,40,92.04115728395165
6,41,85.04401532819531
6,42,78.65772158929884
6,43,71.57423940326233
6,44,67.50713471529845
6,45,65.11219164576173
6,46,61.31766260450084
6,47,60.425821443676455
6,48,100.52094277584192
6,49,96.110112857762
6,50,88.72705807793774
6,51,83.98825609815785
6,52,81.04489387114023
6,53,80.93024465251638
6,54,75.64454850584545
6,55,72.0143848842539
6,56,110.07254137244959
6,57,103.7421168569365
6,58,96.88652944765914
6,59,95.156273427218
6,60,93.04915019948635
6,61,89.71986992546226
6,62,87.08600523147484
6,63,84.7164029022849
6,64,132.87199396037107
6,65,129.05864533043157
6,66,123.1394459256562
6,67,117.01299646181884
6,68,111.20446907049887
6,69,103.7540375442078
6,70,99.67064686487736
6,71,93.1130511416892
6,72,100.91693151130362
6,73,114.89882791168037
6,74,119.88791604852311
6,75,122.52503305248243
6,76,125.84502738295934
6,77,120.87295729905271
6,78,125.61872630963846
6,79,125.5845340014713
6,80,123.00808965590865
6,81,119.11387073850187
6,82,111.74062701268652
6,83,100.28808136837306
6,84,113.25563410039933
6,85,108.71655666597933
6,86,104.67252691530686
6,87,106.74593422059698
6,88,116.04980883954913
6,89,119.11038600661374
6,90,76.17344195592987
6,91,79.02939886462975
6,92,86.10433562194191
6,93,89.83140013721567
6,94,93.85669760419047
6,95,98.32354195183089
6,96,98.21902279126832
6,97,97.83033732039347
6,98,94.27300245557907
6,99,88.9729473792217
6,100,82.52859489533189
6,101,76.36024828764036
6,102,72.79247123187847
6,103,70.52734972265075
6,104,68.23735751616147
6,105,65.45449645975098
6,106,63.391067151628164
6,107,60.90707854992067
6,108,59.23675095662323
6,109,56.479102047011274
6,110,54.99371023400888
6,111,100.56900285219962
6,112,98.45552020452506
6,114,98.0128735790562
6,115,97.74491547039284
6,116,138.79782530794856
6,118,134.30988833607165
6,120,131.66363091156586
6,123,127.89764085698334
6,124,131.10560512647578
6,125,134.98160371144087
7,8,82.92835814845478
7,9,70.95660651355
7,10,58.40156100687965
7,11,48.88050690908371
7,12,37.22527051498167
7,13,26.99966014645206
7,14,16.487385818016556
7,15,11.622337256758081
7,16,84.29980239112164
7,17,73.76472060943641
7,18,63.41893368177209
